Is_New,row,key,location,reference,category,actor,isConditional,conformance,conformance_score,requirement,comment
,1,CONF-007,input/pagecontent/direct-query.md:35,direct-query.html#discovery-of-patient-fhir-ids,Direct Query,Data Source,FALSE,SHALL,1,- CDex Data Source servers **SHALL** support resolving logical identifiers for the Patient resource.,
,2,CONF-009,input/pagecontent/direct-query.md:153,direct-query.html#data-sourceresponder-requirements,Direct Query,Data Consumer,TRUE,SHALL,1,"When signatures are required, the Data Consumer **SHALL** use a [FHIR RESTful search] instead of [FHIR RESTful read]. There is no CDex support for signatures on a FHIR RESTful read because it fetches a single instance of a resource instead of a Bundle. If the Data Consumer attempts to fetch a resource with a read and a signature is required, the Data Source/Responder",
,3,CONF-010,input/pagecontent/direct-query.md:153,direct-query.html#data-sourceresponder-requirements,Direct Query,Data Source,TRUE,SHALL,1,"use a [FHIR RESTful search] instead of [FHIR RESTful read]. There is no CDex support for signatures on a FHIR RESTful read because it fetches a single instance of a resource instead of a Bundle. If the Data Consumer attempts to fetch a resource with a read and a signature is required, the Data Source/Responder **SHALL** return an HTTP `400 Bad Request` *and* an OperationOutcome describing the business rule error. The following HTTP response and OperationOutcome illustrate this",
,4,CONF-011,input/pagecontent/index.md:23,index.html#about-this-guide,IG Home,"Data Source,Data Consumer",FALSE,SHALL,1,The [Da Vinci] initiative supports this implementation guide. Da Vinci is a private effort to accelerate the adoption of Health Level Seven International Fast Healthcare Interoperability Resources (HL7® FHIR®) as the standard to support and integrate value-based care (VBC) data exchange across communities. This guide and implementers of it **SHALL** adhere to the [HL7 Da Vinci Guiding Principles] for exchanging patient health information.,
,5,CONF-012,input/pagecontent/requesting-attachments-code.md:208,requesting-attachments-code.html#date-of-service-for-the-claim,Attachments,Payer,TRUE,SHALL,1,"This `Task.input` element represents the service date or the service's starting date for the claim or prior authorization. If the attachment is for a claim, it **SHALL** be present and precise to the day. It is optional if the attachment is for a prior authorization.",
,6,CONF-014,input/pagecontent/security.md:3,security.html#da-vinci-hrex-security-and-privacy-requirements,Security and Privacy,"Data Source,Data Consumer",FALSE,SHALL,1,This implementation guide inherits all of the mandatory requirements and recommendations defined in the [HRex Security and Privacy] specification.   Implementers **SHALL** read and adhere to the guidance for the following topics:,
,7,CONF-015,input/pagecontent/security.md:20,security.html#general-considerations,Security and Privacy,"Data Source,Data Consumer",FALSE,SHALL,1,1. User scopes **SHALL** be used as defined in [SMART App Launch] to restrict access to the relevant patients for a given Data Consumer. Organizational user access scopes are typically pre-negotiated and documented via business agreements. Data Sources shall translate these agreements into the appropriate SMART App Launch scopes.,
,8,CONF-016,input/pagecontent/security.md:22,security.html#general-considerations,Security and Privacy,"Data Source,Data Consumer",FALSE,SHALL,1,1. Audit mechanisms **SHALL** be in place so that exchange mechanisms *with or without human intervention* can be subject to review/oversight.,
,9,CONF-018,input/pagecontent/security.md:28,security.html#purpose-of-use,Security and Privacy,"Data Source,Data Consumer",TRUE,SHALL,1,communicate the POU for the requested data for each Task using codes from the [CDex Purpose of Use Value Set] in the POU `Task.input` element. The Data Consumer and Data Source **SHALL** use it to communicate the POU for the requested data when trading partner agreements require the POU to be exchanged.</span><!-- new-content -->,
,10,CONF-022,input/pagecontent/sending-attachments.md:81,sending-attachments.html#large-payloads,Attachments,Payer,FALSE,SHALL,1,"1. Servers **SHALL** document in their Capability Statement's `CapabilityStatement,operation.documentation` element or payer-supplied documentation:",
